시군명,해수욕장명,유영가능면적(㎡) ,2015년 방문객 수(명),2016 방문객 수(명),2017 방문객 수(명),2018 방문객 수(명),2019 방문객 수(명),2019년 기준 개장일,2019년 기준 폐장일,비고
창원,광암,25653,,,,29350,39380,2019-07-06,2019-08-18,’18년 재개장
통 영,수륙,7500,7311,12457,15520,12953,14002,2019-07-06,2019-08-18,  
통 영,비진도 산호빛해변,22000,8373,16085,13477,12540,10297,2019-07-06,2019-08-18,  
통 영,사량 대항,6000,4173,2739,3018,4307,3583,2019-07-06,2019-08-18,  
사 천,남일대,66000,43400,43893,35305,28100,42266,2019-07-06,2019-08-18,  
거 제,구조라,92700,68020,77460,55500,55737,45740,2019-07-06,2019-08-25,  
거 제,망치,6000,14895,9045,17616,11590,11740,2019-07-06,2019-08-25,  
거 제,와현 모래숲해변,15300,48990,48460,26551,46547,35530,2019-07-06,2019-08-25,  
거 제,덕원,9000,1448,3231,5083,2055,4486,2019-07-13,2019-08-25,  
거 제,학동 흑진주몽돌해변,148000,93130,96410,64965,56109,48687,2019-07-06,2019-08-25,  
거 제,명사,31500,18988,13635,20972,20827,27080,2019-07-06,2019-08-25,  
거 제,여차,36000,5866,6595,13698,10350,9210,2019-07-13,2019-08-25,  
거 제,함목,13500,5135,7700,7891,5720,3258,2019-07-13,2019-08-25,  
거 제,사곡,5000,6920,4918,4195,8130,3509,2019-07-06,2019-08-25,  
거 제,옆개(물안),6000,21790,9906,17407,11592,10567,2019-07-06,2019-08-25,  
거 제,옥계,1100,8354,3809,3257,3544,10665,2019-07-13,2019-08-25,  
거 제,구영,4000,6266,2377,4002,2057,2628,2019-07-13,2019-08-25,  
거 제,농소,80000,33334,41390,43507,30993,23765,2019-07-06,2019-08-25,  
거 제,황포,6600,9101,6276,2685,5310,4636,2019-07-13,2019-08-25,  
거 제,흥남,10500,46675,33060,38635,32022,29579,2019-07-06,2019-08-25,  
거 제,덕포,18000,9650,7988,14814,14925,13125,2019-07-13,2019-08-25,  
거 제,죽림,15900,1475,비개장,비개장,비개장,비개장,  ,  ,  
남 해,상주은모래비치,546392,202066,193816,166944,115272,122133,2019-07-05,2019-08-18,  
남 해,송정솔바람해변,104749,59975,109492,103851,69906,57746,2019-07-06,2019-08-18,  
남 해,설리,19200,,,51282,9068,8945,2019-07-06,2019-08-18,’17년 신규지정
남 해,사촌,13000,24798,12599,6316,4830,10410,2019-07-06,2019-08-18,  
남 해,두곡 월포,27000,14594,17178,7382,6436,5130,2019-07-06,2019-08-18,  
